ATCOCode,CommonName,Street,NptgLocalityCode,LocalityName,GridType,Longitude,Latitude,StopType,BusStopType,TimingStatus,Status
1980SN121051,BTC Sports Ground,Stoneham Lane,E0042028,Swaythling,UKOS,-1.37744,50.946,BCT,MKD,OTH,active
1980SN121047,BTC Sports Ground,Stoneham Lane,E0042028,Swaythling,UKOS,-1.3775,50.94604,BCT,MKD,OTH,active
1980SN121052,Oakmount Avenue,The Avenue,E0041989,Highfield,UKOS,-1.40571,50.9271,BCT,MKD,OTH,active
1980SN121055,Oakmount Avenue,The Avenue,E0041989,Highfield,UKOS,-1.40559,50.92739,BCT,MKD,OTH,active
1980SN121053,Avenue Subway,The Avenue,E0041989,Highfield,UKOS,-1.40595,50.92957,BCT,MKD,OTH,active
1980SN121054,Avenue Subway,The Avenue,E0041989,Highfield,UKOS,-1.4058,50.92997,BCT,MKD,OTH,active
1980SN120051,Oasis Academy,Romsey Road,N0073217,Lord's Hill,UKOS,-1.4574,50.94092,BCT,MKD,OTH,active
1980SN121043,Oasis Academy,Romsey Road,N0073217,Lord's Hill,UKOS,-1.45765,50.94144,BCT,MKD,OTH,active
1980SN121044,Green Lane,Romsey Road,E0042000,Maybush,UKOS,-1.45184,50.93495,BCT,MKD,OTH,active
1980SN120062,Green Lane,Romsey Road,E0042000,Maybush,UKOS,-1.45115,50.93435,BCT,MKD,OTH,active
1980SN121045,Maybush Corner,Romsey Road,E0042000,Maybush,UKOS,-1.44865,50.93153,BCT,MKD,OTH,active
1980SN120196,Maybush Corner,Romsey Road,E0042000,Maybush,UKOS,-1.4476,50.93056,BCT,MKD,OTH,active
1980SN120194,Maybush Corner,Rownhams Road,E0042000,Maybush,UKOS,-1.44787,50.9314,BCT,MKD,OTH,active
1980SN121003,Bargate WestQuay,Bargate Street,N0077117,Southampton City Centre,UKOS,-1.40525,50.90273,BCT,MKD,OTH,active
1980SN121069,Bargate WestQuay,Bargate Street,N0077117,Southampton City Centre,UKOS,-1.40499,50.90271,BCT,MKD,OTH,inactive
1980SN122003,Tenterton Avenue,Newtown Road,N0073222,Weston,UKOS,-1.35241,50.88884,BCT,MKD,OTH,active
1980SN122002,Tenterton Avenue,Newtown Road,N0073222,Weston,UKOS,-1.35283,50.88941,BCT,MKD,OTH,active
1980SN12272B,Portswood Broadway,Portswood Road,E0042013,Portswood,UKOS,-1.39201,50.92642,BCT,MKD,OTH,active
1980SN12272A,Portswood Broadway,Portswood Road,E0042013,Portswood,UKOS,-1.3921,50.92636,BCT,MKD,OTH,active
1980SN120273,Portswood Broadway,St Denys Road,E0042013,Portswood,UKOS,-1.39103,50.9264,BCT,MKD,OTH,active
1980SN12275A,Portswood Broadway,Portswood Road,E0042013,Portswood,UKOS,-1.39212,50.92621,BCT,MKD,OTH,active
1980SN121062,St Francis Avenue,West End Road,E0041988,Harefield,UKOS,-1.3485,50.92193,BCT,MKD,OTH,active
1980SN121060,St Francis Avenue,West End Road,E0041988,Harefield,UKOS,-1.34865,50.92201,BCT,MKD,OTH,active
1980SN121063,Hatley Road,West End Road,E0041988,Harefield,UKOS,-1.35348,50.92153,BCT,MKD,OTH,active
1980SN121061,Hatley Road,West End Road,E0041988,Harefield,UKOS,-1.3536,50.92146,BCT,MKD,OTH,active
1980SN121066,Severn Road,Wimpson Lane,N0080447,Millbrook Estate,UKOS,-1.45606,50.92228,BCT,MKD,OTH,active
1980SN121067,Pickles Copse,Wimpson Lane,N0080447,Millbrook Estate,UKOS,-1.45241,50.92652,BCT,MKD,OTH,active
1980SN121068,Oakley Road,Wimpson Lane,N0080447,Millbrook Estate,UKOS,-1.45394,50.92467,BCT,MKD,OTH,active
1980SN121006,Ridgemount Avenue,Bassett Avenue,E0041967,Bassett,UKOS,-1.40571,50.94572,BCT,MKD,OTH,active
1980SN121010,Ridgemount Avenue,Bassett Avenue,E0041967,Bassett,UKOS,-1.40557,50.94556,BCT,MKD,OTH,active
1980SN121014,Botley Road,Bursledon Road,E0041990,Hightown,UKOS,-1.32903,50.90021,BCT,MKD,OTH,inactive
1980SN121015,Botley Road,Bursledon Road,E0041990,Hightown,UKOS,-1.32912,50.90015,BCT,MKD,OTH,inactive
1980SNA09464,WestQuay,Castle Way,N0077117,Southampton City Centre,UKOS,-1.40541,50.90242,BCT,MKD,OTH,active
1980HAA13647,WestQuay,Castle Way,N0077117,Southampton City Centre,UKOS,-1.40557,50.9025,BCT,MKD,OTH,active
1980SN121016,WestQuay,Castle Way,N0077117,Southampton City Centre,UKOS,-1.40551,50.90236,BCT,MKD,OTH,active
